n,AssignmentsBubblesort,ComparisonsBubblesort,totalOperationsBubblesort,n,AssignmentsInsertionsort,ComparisonsInsertionsort,totalOperationsInsertionsort,n,AssignmentsSelectionsort,ComparisonsSelectionsort,totalOperationsSelectionsort
100,378,341,719,100,324,225,549,100,14,5049,5063
200,3876,3072,6948,200,1930,1731,3661,200,115,20099,20214
300,6474,4986,11460,300,2671,2372,5043,300,217,45149,45366
400,6432,8094,14526,400,2756,2357,5113,400,59,80199,80258
500,18855,18360,37215,500,4134,3635,7769,500,89,125249,125338
600,15672,15580,31252,600,5994,5395,11389,600,221,180299,180520
700,40587,30884,71471,700,7660,6961,14621,700,103,245349,245452
800,50041,30723,80764,800,17588,16789,34377,800,243,320399,320642
900,28971,21109,50080,900,12152,11253,23405,900,134,405449,405583
1000,36563,26209,62772,1000,14684,13685,28369,1000,148,500499,500647
1100,80583,57474,138057,1100,31685,30586,62271,1100,163,605549,605712
1200,96147,65337,161484,1200,20969,19770,40739,1200,178,720599,720777
1300,90525,101034,191559,1300,27479,26180,53659,1300,193,845649,845842
1400,63491,61824,125315,1400,27474,26075,53549,1400,208,980699,980907
1500,82994,58450,141444,1500,31516,30017,61533,1500,223,1125749,1125972
1600,91245,69796,161041,1600,35561,33962,69523,1600,239,1280799,1281038
1700,179517,150615,330132,1700,46643,44944,91587,1700,508,1445849,1446357
1800,176841,158349,335190,1800,43596,41797,85393,1800,268,1620899,1621167
1900,255049,193824,448873,1900,49383,47484,96867,1900,283,1805949,1806232
2000,222763,194267,417030,2000,54875,52876,107751,2000,596,2000999,2001595
2100,216378,181948,398326,2100,73254,71155,144409,2100,314,2206049,2206363
2200,180609,197483,378092,2200,107754,105555,213309,2200,329,2421099,2421428
2300,270516,230021,500537,2300,71473,69174,140647,2300,343,2646149,2646492
2400,206700,153758,360458,2400,75855,73456,149311,2400,358,2881199,2881557
2500,217155,188445,405600,2500,83887,81388,165275,2500,744,3126249,3126993
2600,359255,287995,647250,2600,89214,86615,175829,2600,389,3381299,3381688
2700,340763,300459,641222,2700,111142,108443,219585,2700,403,3646349,3646752
2800,366926,326496,693422,2800,117545,114746,232291,2800,833,3921399,3922232
2900,351265,327922,679187,2900,125162,122263,247425,2900,434,4206449,4206883
3000,327650,244333,571983,3000,116837,113838,230675,3000,448,4501499,4501947
3100,343567,243528,587095,3100,125220,122121,247341,3100,464,4806549,4807013
3200,304760,318204,622964,3200,135410,132211,267621,3200,478,5121599,5122077
3300,389525,490622,880147,3300,145010,141711,286721,3300,493,5446649,5447142
3400,435337,469312,904649,3400,148223,144824,293047,3400,508,5781699,5782207
3500,430625,318328,748953,3500,159373,155874,315247,3500,523,6126749,6127272
3600,458122,352811,810933,3600,169229,165630,334859,3600,538,6481799,6482337
3700,473273,378710,851983,3700,178409,174710,353119,3700,553,6846849,6847402
3800,515486,422190,937676,3800,185771,181972,367743,3800,568,7221899,7222467
3900,379761,389726,769487,3900,198971,195072,394043,3900,583,7606949,7607532
4000,592196,679331,1271527,4000,208294,204295,412589,4000,599,8001999,8002598
4100,582669,438170,1020839,4100,216546,212447,428993,4100,613,8407049,8407662
4200,654253,519341,1173594,4200,228194,223995,452189,4200,629,8822099,8822728
4300,649932,512229,1162161,4300,235565,231266,466831,4300,643,9247149,9247792
4400,708085,487017,1195102,4400,249999,245600,495599,4400,657,9682199,9682856
4500,577255,720760,1298015,4500,261475,256976,518451,4500,673,10127249,10127922
4600,745990,534623,1280613,4600,273578,268979,542557,4600,1372,10582299,10583671
4700,655545,705829,1361374,4700,286694,281995,568689,4700,703,11047349,11048052
4800,1037077,1111433,2148510,4800,313051,308252,621303,4800,719,11522399,11523118
4900,1098195,1118866,2217061,4900,302620,297721,600341,4900,733,12007449,12008182
5000,1105402,1073333,2178735,5000,328086,323087,651173,5000,748,12502499,12503247
5100,827457,773104,1600561,5100,337425,332326,669751,5100,900,13007549,13008449
5200,997969,1086678,2084647,5200,374905,369706,744611,5200,1348,13522599,13523947
5300,1134125,1249396,2383521,5300,398330,393031,791361,5300,832,14047649,14048481
5400,1064728,1290966,2355694,5400,407798,402399,810197,5400,1617,14582699,14584316
5500,1082554,1190012,2272566,5500,428543,423044,851587,5500,1642,15127749,15129391
5600,1179723,1396244,2575967,5600,445344,439745,885089,5600,1667,15682799,15684466
5700,1106917,844191,1951108,5700,419902,414203,834105,5700,853,16247849,16248702
5800,1365177,1405420,2770597,5800,469721,463922,933643,5800,1699,16822899,16824598
5900,1248901,1578555,2827456,5900,487012,481113,968125,5900,1765,17407949,17409714
6000,1288332,985608,2273940,6000,516826,510827,1027653,6000,1725,18002999,18004724
6100,1470226,1611865,3082091,6100,514460,508361,1022821,6100,1314,18608049,18609363
6200,1527252,1565574,3092826,6200,536248,530049,1066297,6200,1835,19223099,19224934
6300,1706947,1749216,3456163,6300,512717,506418,1019135,6300,1339,19848149,19849488
6400,1365979,1877282,3243261,6400,530728,524329,1055057,6400,958,20483199,20484157
6500,1729173,1928077,3657250,6500,599038,592539,1191577,6500,1773,21128249,21130022
6600,1872676,1937310,3809986,6600,556654,550055,1106709,6600,1974,21783299,21785273
6700,1482628,1419371,2901999,6700,571221,564522,1135743,6700,2006,22448349,22450355
6800,1904460,1884653,3789113,6800,589968,583169,1173137,6800,1019,23123399,23124418
6900,1923158,1930314,3853472,6900,614851,607952,1222803,6900,1033,23808449,23809482
7000,1763353,2033409,3796762,7000,668258,661259,1329517,7000,1971,24503499,24505470
7100,2134831,2348729,4483560,7100,645071,637972,1283043,7100,1063,25208549,25209612
7200,2137828,2145449,4283277,7200,669733,662534,1332267,7200,1078,25923599,25924677
7300,1987662,2455270,4442932,7300,727494,720195,1447689,7300,1926,26648649,26650575
7400,1913889,1626235,3540124,7400,702888,695489,1398377,7400,2216,27383699,27385915
7500,2323731,2476216,4799947,7500,715159,707660,1422819,7500,2192,28128749,28130941
7600,2409312,2417803,4827115,7600,732839,725240,1458079,7600,2097,28883799,28885896
7700,2447964,2587948,5035912,7700,755409,747710,1503119,7700,1154,29648849,29650003
7800,2519124,2743699,5262823,7800,772469,764670,1537139,7800,1168,30423899,30425067
7900,2237191,2964013,5201204,7900,857405,849506,1706911,7900,1183,31208949,31210132
8000,2606164,2576702,5182866,8000,811384,803385,1614769,8000,1203,32003999,32005202
8100,2720049,2822260,5542309,8100,833740,825641,1659381,8100,1214,32809049,32810263
8200,2546289,2742816,5289105,8200,858585,850386,1708971,8200,1228,33624099,33625327
8300,2625481,2688308,5313789,8300,875075,866776,1741851,8300,1243,34449149,34450392
8400,2318487,2430200,4748687,8400,943145,934746,1877891,8400,1258,35284199,35285457
8500,2957557,3023948,5981505,8500,926492,917993,1844485,8500,1272,36129249,36130521
8600,1942247,2343333,4285580,8600,958179,949580,1907759,8600,2574,36984299,36986873
8700,2599619,2028421,4628040,8700,964320,955621,1919941,8700,2600,37849349,37851949
8800,3056718,3042362,6099080,8800,987184,978385,1965569,8800,1317,38724399,38725716
8900,2957701,3261959,6219660,8900,1094660,1085761,2180421,8900,2652,39609449,39612101
9000,2673695,2568666,5242361,9000,1037933,1028934,2066867,9000,2693,40504499,40507192
9100,2764847,2580219,5345066,9100,1054442,1045343,2099785,9100,2727,41409549,41412276
9200,2778875,2167079,4945954,9200,1074323,1065124,2139447,9200,2753,42324599,42327352
9300,2295638,3710699,6006337,9300,1183539,1174240,2357779,9300,1944,43249649,43251593
9400,3322709,3894589,7217298,9400,1137656,1128257,2265913,9400,2760,44184699,44187459
9500,3625517,3657420,7282937,9500,1147945,1138446,2286391,9500,1423,45129749,45131172
9600,3387110,4027820,7414930,9600,1263280,1253681,2516961,9600,2872,46084799,46087671
9700,3523004,3743570,7266574,9700,1289279,1279580,2568859,9700,1452,47049849,47051301
9800,3453656,4170744,7624400,9800,1294299,1284500,2578799,9800,2903,48024899,48027802
9900,3451438,2602147,6053585,9900,1251187,1241288,2492475,9900,2967,49009949,49012916
10000,3438928,2750307,6189235,10000,1266249,1256250,2522499,10000,2994,50004999,50007993
