n,AssignmentsBubblesort,ComparisonsBubblesort,totalOperationsBubblesort,n,AssignmentsInsertionsort,ComparisonsInsertionsort,totalOperationsInsertionsort,n,AssignmentsSelectionsort,ComparisonsSelectionsort,totalOperationsSelectionsort
100,0,99,99,100,198,99,297,100,0,5049,5049
200,0,199,199,200,398,199,597,200,0,20099,20099
300,0,299,299,300,598,299,897,300,0,45149,45149
400,0,399,399,400,798,399,1197,400,0,80199,80199
500,0,499,499,500,998,499,1497,500,0,125249,125249
600,0,599,599,600,1198,599,1797,600,0,180299,180299
700,0,699,699,700,1398,699,2097,700,0,245349,245349
800,0,799,799,800,1598,799,2397,800,0,320399,320399
900,0,899,899,900,1798,899,2697,900,0,405449,405449
1000,0,999,999,1000,1998,999,2997,1000,0,500499,500499
1100,0,1099,1099,1100,2198,1099,3297,1100,0,605549,605549
1200,0,1199,1199,1200,2398,1199,3597,1200,0,720599,720599
1300,0,1299,1299,1300,2598,1299,3897,1300,0,845649,845649
1400,0,1399,1399,1400,2798,1399,4197,1400,0,980699,980699
1500,0,1499,1499,1500,2998,1499,4497,1500,0,1125749,1125749
1600,0,1599,1599,1600,3198,1599,4797,1600,0,1280799,1280799
1700,0,1699,1699,1700,3398,1699,5097,1700,0,1445849,1445849
1800,0,1799,1799,1800,3598,1799,5397,1800,0,1620899,1620899
1900,0,1899,1899,1900,3798,1899,5697,1900,0,1805949,1805949
2000,0,1999,1999,2000,3998,1999,5997,2000,0,2000999,2000999
2100,0,2099,2099,2100,4198,2099,6297,2100,0,2206049,2206049
2200,0,2199,2199,2200,4398,2199,6597,2200,0,2421099,2421099
2300,0,2299,2299,2300,4598,2299,6897,2300,0,2646149,2646149
2400,0,2399,2399,2400,4798,2399,7197,2400,0,2881199,2881199
2500,0,2499,2499,2500,4998,2499,7497,2500,0,3126249,3126249
2600,0,2599,2599,2600,5198,2599,7797,2600,0,3381299,3381299
2700,0,2699,2699,2700,5398,2699,8097,2700,0,3646349,3646349
2800,0,2799,2799,2800,5598,2799,8397,2800,0,3921399,3921399
2900,0,2899,2899,2900,5798,2899,8697,2900,0,4206449,4206449
3000,0,2999,2999,3000,5998,2999,8997,3000,0,4501499,4501499
3100,0,3099,3099,3100,6198,3099,9297,3100,0,4806549,4806549
3200,0,3199,3199,3200,6398,3199,9597,3200,0,5121599,5121599
3300,0,3299,3299,3300,6598,3299,9897,3300,0,5446649,5446649
3400,0,3399,3399,3400,6798,3399,10197,3400,0,5781699,5781699
3500,0,3499,3499,3500,6998,3499,10497,3500,0,6126749,6126749
3600,0,3599,3599,3600,7198,3599,10797,3600,0,6481799,6481799
3700,0,3699,3699,3700,7398,3699,11097,3700,0,6846849,6846849
3800,0,3799,3799,3800,7598,3799,11397,3800,0,7221899,7221899
3900,0,3899,3899,3900,7798,3899,11697,3900,0,7606949,7606949
4000,0,3999,3999,4000,7998,3999,11997,4000,0,8001999,8001999
4100,0,4099,4099,4100,8198,4099,12297,4100,0,8407049,8407049
4200,0,4199,4199,4200,8398,4199,12597,4200,0,8822099,8822099
4300,0,4299,4299,4300,8598,4299,12897,4300,0,9247149,9247149
4400,0,4399,4399,4400,8798,4399,13197,4400,0,9682199,9682199
4500,0,4499,4499,4500,8998,4499,13497,4500,0,10127249,10127249
4600,0,4599,4599,4600,9198,4599,13797,4600,0,10582299,10582299
4700,0,4699,4699,4700,9398,4699,14097,4700,0,11047349,11047349
4800,0,4799,4799,4800,9598,4799,14397,4800,0,11522399,11522399
4900,0,4899,4899,4900,9798,4899,14697,4900,0,12007449,12007449
5000,0,4999,4999,5000,9998,4999,14997,5000,0,12502499,12502499
5100,0,5099,5099,5100,10198,5099,15297,5100,0,13007549,13007549
5200,0,5199,5199,5200,10398,5199,15597,5200,0,13522599,13522599
5300,0,5299,5299,5300,10598,5299,15897,5300,0,14047649,14047649
5400,0,5399,5399,5400,10798,5399,16197,5400,0,14582699,14582699
5500,0,5499,5499,5500,10998,5499,16497,5500,0,15127749,15127749
5600,0,5599,5599,5600,11198,5599,16797,5600,0,15682799,15682799
5700,0,5699,5699,5700,11398,5699,17097,5700,0,16247849,16247849
5800,0,5799,5799,5800,11598,5799,17397,5800,0,16822899,16822899
5900,0,5899,5899,5900,11798,5899,17697,5900,0,17407949,17407949
6000,0,5999,5999,6000,11998,5999,17997,6000,0,18002999,18002999
6100,0,6099,6099,6100,12198,6099,18297,6100,0,18608049,18608049
6200,0,6199,6199,6200,12398,6199,18597,6200,0,19223099,19223099
6300,0,6299,6299,6300,12598,6299,18897,6300,0,19848149,19848149
6400,0,6399,6399,6400,12798,6399,19197,6400,0,20483199,20483199
6500,0,6499,6499,6500,12998,6499,19497,6500,0,21128249,21128249
6600,0,6599,6599,6600,13198,6599,19797,6600,0,21783299,21783299
6700,0,6699,6699,6700,13398,6699,20097,6700,0,22448349,22448349
6800,0,6799,6799,6800,13598,6799,20397,6800,0,23123399,23123399
6900,0,6899,6899,6900,13798,6899,20697,6900,0,23808449,23808449
7000,0,6999,6999,7000,13998,6999,20997,7000,0,24503499,24503499
7100,0,7099,7099,7100,14198,7099,21297,7100,0,25208549,25208549
7200,0,7199,7199,7200,14398,7199,21597,7200,0,25923599,25923599
7300,0,7299,7299,7300,14598,7299,21897,7300,0,26648649,26648649
7400,0,7399,7399,7400,14798,7399,22197,7400,0,27383699,27383699
7500,0,7499,7499,7500,14998,7499,22497,7500,0,28128749,28128749
7600,0,7599,7599,7600,15198,7599,22797,7600,0,28883799,28883799
7700,0,7699,7699,7700,15398,7699,23097,7700,0,29648849,29648849
7800,0,7799,7799,7800,15598,7799,23397,7800,0,30423899,30423899
7900,0,7899,7899,7900,15798,7899,23697,7900,0,31208949,31208949
8000,0,7999,7999,8000,15998,7999,23997,8000,0,32003999,32003999
8100,0,8099,8099,8100,16198,8099,24297,8100,0,32809049,32809049
8200,0,8199,8199,8200,16398,8199,24597,8200,0,33624099,33624099
8300,0,8299,8299,8300,16598,8299,24897,8300,0,34449149,34449149
8400,0,8399,8399,8400,16798,8399,25197,8400,0,35284199,35284199
8500,0,8499,8499,8500,16998,8499,25497,8500,0,36129249,36129249
8600,0,8599,8599,8600,17198,8599,25797,8600,0,36984299,36984299
8700,0,8699,8699,8700,17398,8699,26097,8700,0,37849349,37849349
8800,0,8799,8799,8800,17598,8799,26397,8800,0,38724399,38724399
8900,0,8899,8899,8900,17798,8899,26697,8900,0,39609449,39609449
9000,0,8999,8999,9000,17998,8999,26997,9000,0,40504499,40504499
9100,0,9099,9099,9100,18198,9099,27297,9100,0,41409549,41409549
9200,0,9199,9199,9200,18398,9199,27597,9200,0,42324599,42324599
9300,0,9299,9299,9300,18598,9299,27897,9300,0,43249649,43249649
9400,0,9399,9399,9400,18798,9399,28197,9400,0,44184699,44184699
9500,0,9499,9499,9500,18998,9499,28497,9500,0,45129749,45129749
9600,0,9599,9599,9600,19198,9599,28797,9600,0,46084799,46084799
9700,0,9699,9699,9700,19398,9699,29097,9700,0,47049849,47049849
9800,0,9799,9799,9800,19598,9799,29397,9800,0,48024899,48024899
9900,0,9899,9899,9900,19798,9899,29697,9900,0,49009949,49009949
10000,0,9999,9999,10000,19998,9999,29997,10000,0,50004999,50004999
