n,AssignmentsBubblesort,ComparisonsBubblesort,totalOperationsBubblesort,n,AssignmentsInsertionsort,ComparisonsInsertionsort,totalOperationsInsertionsort,n,AssignmentsSelectionsort,ComparisonsSelectionsort,totalOperationsSelectionsort
100,14850,4950,19800,100,5148,5049,10197,100,150,5049,5199
200,59700,19900,79600,200,20298,20099,40397,200,300,20099,20399
300,134550,44850,179400,300,45448,45149,90597,300,450,45149,45599
400,239400,79800,319200,400,80598,80199,160797,400,600,80199,80799
500,374250,124750,499000,500,125748,125249,250997,500,750,125249,125999
600,539100,179700,718800,600,180898,180299,361197,600,900,180299,181199
700,733950,244650,978600,700,246048,245349,491397,700,1050,245349,246399
800,958800,319600,1278400,800,321198,320399,641597,800,1200,320399,321599
900,1213650,404550,1618200,900,406348,405449,811797,900,1350,405449,406799
1000,1498500,499500,1998000,1000,501498,500499,1001997,1000,1500,500499,501999
1100,1813350,604450,2417800,1100,606648,605549,1212197,1100,1650,605549,607199
1200,2158200,719400,2877600,1200,721798,720599,1442397,1200,1800,720599,722399
1300,2533050,844350,3377400,1300,846948,845649,1692597,1300,1950,845649,847599
1400,2937900,979300,3917200,1400,982098,980699,1962797,1400,2100,980699,982799
1500,3372750,1124250,4497000,1500,1127248,1125749,2252997,1500,2250,1125749,1127999
1600,3837600,1279200,5116800,1600,1282398,1280799,2563197,1600,2400,1280799,1283199
1700,4332450,1444150,5776600,1700,1447548,1445849,2893397,1700,2550,1445849,1448399
1800,4857300,1619100,6476400,1800,1622698,1620899,3243597,1800,2700,1620899,1623599
1900,5412150,1804050,7216200,1900,1807848,1805949,3613797,1900,2850,1805949,1808799
2000,5997000,1999000,7996000,2000,2002998,2000999,4003997,2000,3000,2000999,2003999
2100,6611850,2203950,8815800,2100,2208148,2206049,4414197,2100,3150,2206049,2209199
2200,7256700,2418900,9675600,2200,2423298,2421099,4844397,2200,3300,2421099,2424399
2300,7931550,2643850,10575400,2300,2648448,2646149,5294597,2300,3450,2646149,2649599
2400,8636400,2878800,11515200,2400,2883598,2881199,5764797,2400,3600,2881199,2884799
2500,9371250,3123750,12495000,2500,3128748,3126249,6254997,2500,3750,3126249,3129999
2600,10136100,3378700,13514800,2600,3383898,3381299,6765197,2600,3900,3381299,3385199
2700,10930950,3643650,14574600,2700,3649048,3646349,7295397,2700,4050,3646349,3650399
2800,11755800,3918600,15674400,2800,3924198,3921399,7845597,2800,4200,3921399,3925599
2900,12610650,4203550,16814200,2900,4209348,4206449,8415797,2900,4350,4206449,4210799
3000,13495500,4498500,17994000,3000,4504498,4501499,9005997,3000,4500,4501499,4505999
3100,14410350,4803450,19213800,3100,4809648,4806549,9616197,3100,4650,4806549,4811199
3200,15355200,5118400,20473600,3200,5124798,5121599,10246397,3200,4800,5121599,5126399
3300,16330050,5443350,21773400,3300,5449948,5446649,10896597,3300,4950,5446649,5451599
3400,17334900,5778300,23113200,3400,5785098,5781699,11566797,3400,5100,5781699,5786799
3500,18369750,6123250,24493000,3500,6130248,6126749,12256997,3500,5250,6126749,6131999
3600,19434600,6478200,25912800,3600,6485398,6481799,12967197,3600,5400,6481799,6487199
3700,20529450,6843150,27372600,3700,6850548,6846849,13697397,3700,5550,6846849,6852399
3800,21654300,7218100,28872400,3800,7225698,7221899,14447597,3800,5700,7221899,7227599
3900,22809150,7603050,30412200,3900,7610848,7606949,15217797,3900,5850,7606949,7612799
4000,23994000,7998000,31992000,4000,8005998,8001999,16007997,4000,6000,8001999,8007999
4100,25208850,8402950,33611800,4100,8411148,8407049,16818197,4100,6150,8407049,8413199
4200,26453700,8817900,35271600,4200,8826298,8822099,17648397,4200,6300,8822099,8828399
4300,27728550,9242850,36971400,4300,9251448,9247149,18498597,4300,6450,9247149,9253599
4400,29033400,9677800,38711200,4400,9686598,9682199,19368797,4400,6600,9682199,9688799
4500,30368250,10122750,40491000,4500,10131748,10127249,20258997,4500,6750,10127249,10133999
4600,31733100,10577700,42310800,4600,10586898,10582299,21169197,4600,6900,10582299,10589199
4700,33127950,11042650,44170600,4700,11052048,11047349,22099397,4700,7050,11047349,11054399
4800,34552800,11517600,46070400,4800,11527198,11522399,23049597,4800,7200,11522399,11529599
4900,36007650,12002550,48010200,4900,12012348,12007449,24019797,4900,7350,12007449,12014799
5000,37492500,12497500,49990000,5000,12507498,12502499,25009997,5000,7500,12502499,12509999
5100,39007350,13002450,52009800,5100,13012648,13007549,26020197,5100,7650,13007549,13015199
5200,40552200,13517400,54069600,5200,13527798,13522599,27050397,5200,7800,13522599,13530399
5300,42127050,14042350,56169400,5300,14052948,14047649,28100597,5300,7950,14047649,14055599
5400,43731900,14577300,58309200,5400,14588098,14582699,29170797,5400,8100,14582699,14590799
5500,45366750,15122250,60489000,5500,15133248,15127749,30260997,5500,8250,15127749,15135999
5600,47031600,15677200,62708800,5600,15688398,15682799,31371197,5600,8400,15682799,15691199
5700,48726450,16242150,64968600,5700,16253548,16247849,32501397,5700,8550,16247849,16256399
5800,50451300,16817100,67268400,5800,16828698,16822899,33651597,5800,8700,16822899,16831599
5900,52206150,17402050,69608200,5900,17413848,17407949,34821797,5900,8850,17407949,17416799
6000,53991000,17997000,71988000,6000,18008998,18002999,36011997,6000,9000,18002999,18011999
6100,55805850,18601950,74407800,6100,18614148,18608049,37222197,6100,9150,18608049,18617199
6200,57650700,19216900,76867600,6200,19229298,19223099,38452397,6200,9300,19223099,19232399
6300,59525550,19841850,79367400,6300,19854448,19848149,39702597,6300,9450,19848149,19857599
6400,61430400,20476800,81907200,6400,20489598,20483199,40972797,6400,9600,20483199,20492799
6500,63365250,21121750,84487000,6500,21134748,21128249,42262997,6500,9750,21128249,21137999
6600,65330100,21776700,87106800,6600,21789898,21783299,43573197,6600,9900,21783299,21793199
6700,67324950,22441650,89766600,6700,22455048,22448349,44903397,6700,10050,22448349,22458399
6800,69349800,23116600,92466400,6800,23130198,23123399,46253597,6800,10200,23123399,23133599
6900,71404650,23801550,95206200,6900,23815348,23808449,47623797,6900,10350,23808449,23818799
7000,73489500,24496500,97986000,7000,24510498,24503499,49013997,7000,10500,24503499,24513999
7100,75604350,25201450,100805800,7100,25215648,25208549,50424197,7100,10650,25208549,25219199
7200,77749200,25916400,103665600,7200,25930798,25923599,51854397,7200,10800,25923599,25934399
7300,79924050,26641350,106565400,7300,26655948,26648649,53304597,7300,10950,26648649,26659599
7400,82128900,27376300,109505200,7400,27391098,27383699,54774797,7400,11100,27383699,27394799
7500,84363750,28121250,112485000,7500,28136248,28128749,56264997,7500,11250,28128749,28139999
7600,86628600,28876200,115504800,7600,28891398,28883799,57775197,7600,11400,28883799,28895199
7700,88923450,29641150,118564600,7700,29656548,29648849,59305397,7700,11550,29648849,29660399
7800,91248300,30416100,121664400,7800,30431698,30423899,60855597,7800,11700,30423899,30435599
7900,93603150,31201050,124804200,7900,31216848,31208949,62425797,7900,11850,31208949,31220799
8000,95988000,31996000,127984000,8000,32011998,32003999,64015997,8000,12000,32003999,32015999
8100,98402850,32800950,131203800,8100,32817148,32809049,65626197,8100,12150,32809049,32821199
8200,100847700,33615900,134463600,8200,33632298,33624099,67256397,8200,12300,33624099,33636399
8300,103322550,34440850,137763400,8300,34457448,34449149,68906597,8300,12450,34449149,34461599
8400,105827400,35275800,141103200,8400,35292598,35284199,70576797,8400,12600,35284199,35296799
8500,108362250,36120750,144483000,8500,36137748,36129249,72266997,8500,12750,36129249,36141999
8600,110927100,36975700,147902800,8600,36992898,36984299,73977197,8600,12900,36984299,36997199
8700,113521950,37840650,151362600,8700,37858048,37849349,75707397,8700,13050,37849349,37862399
8800,116146800,38715600,154862400,8800,38733198,38724399,77457597,8800,13200,38724399,38737599
8900,118801650,39600550,158402200,8900,39618348,39609449,79227797,8900,13350,39609449,39622799
9000,121486500,40495500,161982000,9000,40513498,40504499,81017997,9000,13500,40504499,40517999
9100,124201350,41400450,165601800,9100,41418648,41409549,82828197,9100,13650,41409549,41423199
9200,126946200,42315400,169261600,9200,42333798,42324599,84658397,9200,13800,42324599,42338399
9300,129721050,43240350,172961400,9300,43258948,43249649,86508597,9300,13950,43249649,43263599
9400,132525900,44175300,176701200,9400,44194098,44184699,88378797,9400,14100,44184699,44198799
9500,135360750,45120250,180481000,9500,45139248,45129749,90268997,9500,14250,45129749,45143999
9600,138225600,46075200,184300800,9600,46094398,46084799,92179197,9600,14400,46084799,46099199
9700,141120450,47040150,188160600,9700,47059548,47049849,94109397,9700,14550,47049849,47064399
9800,144045300,48015100,192060400,9800,48034698,48024899,96059597,9800,14700,48024899,48039599
9900,147000150,49000050,196000200,9900,49019848,49009949,98029797,9900,14850,49009949,49024799
10000,149985000,49995000,199980000,10000,50014998,50004999,100019997,10000,15000,50004999,50019999
